,videoIds,commentCount,dislikeCount,favoriteCount,likeCount,viewCount
0,_p32myp2OlU,0,0,0,5,155945
1,PNACvjldl3I,15,38,0,91,3327263
2,wKYSK5DLs2Y,0,0,0,0,4385183
3,LpCdt8iR0t8,-1,6,0,88,26000767
4,r_E_Xhxjsg0,1539,13593,0,63167,15112239
5,_tIT_GGpObE,-1,-1,0,-1,887466
6,iVej4nwrzW0,0,0,0,0,606497
7,kaIlwZOVx1I,0,0,0,0,358171
8,Xr9xeKOeHUo,1,71,0,1103,29703
9,OXAcqG29Gx0,14,13,0,22,12406162
10,bBRigYn97kg,7,1,0,41,911721
11,SEfenoL9jUw,2778,530,0,32076,1025958
12,--In54iTXQY,1,1,0,0,8223450
13,4JE9NrpCbrM,-1,11,0,3,11027297
14,6BjgRkoTZd4,1,4,0,1,17283454
15,vAv7HrMgsEo,2,3,0,1,27766227
16,dRa7zlW_Rgw,1,5,0,2,10088189
17,_e3-boh02sc,0,1,0,6,201451
18,-oR6mAtYZEI,1,0,0,1,833667
19,FsKr2WaEmvM,7,1,0,23,2035549
20,YR0X_0DpYoE,1,1,0,3,2652867
21,5xWNjgX2LVo,0,0,0,0,651622
22,f4orXwNAXhs,60,4,0,325,30939
23,PXzF35HpsUA,10,17,0,5,59182638
24,22wcJqh80EQ,3,17,0,92,9814375
25,988hQ_pjFic,2,3,0,1,14846734
26,hmh8G85IpFQ,0,0,0,0,2891586
27,n8gRVI7Q0eI,0,0,0,0,349964
28,6Y9pe8lXXlM,0,0,0,0,430998
29,IxKPK7EdgOY,0,0,0,0,376438
30,KEl88ST5tXA,0,1,0,0,268423
31,wSp0WnoHTbE,0,0,0,2,41484880
32,PjTerFDz_ik,159,12,0,482,28795
33,L6mqHetOXMY,0,0,0,0,353406
34,MIPIMLZsuKU,-1,266,0,180,60281609
35,d1nRUygBsec,0,0,0,0,663357
36,N8_AvBRhIGE,-1,276,0,98,1631458
37,1Wr3Qq65crY,0,0,0,0,2001436
38,qn3GscxULtk,7,0,0,62,2098199
39,cKYurmWSw0M,0,0,0,10,238471
40,eb-HKyzTfOg,2,0,0,2,5563500
41,LXp_kMGVmsc,1,4,0,25,648641
42,y3JdK5igioU,1760,13275,0,69398,15212598
43,EN-t0KHZwJA,13,508,0,1128,3750104
44,6wlKLiKVgM8,0,0,0,0,800720
45,rJLUvUoZQK8,0,0,0,0,2096091
46,8_L14yQgGTs,41,11299,0,22947,17189695
47,gBAlgBXXqOM,-1,0,0,1,1873877
48,V70pP_V_vZI,0,1,0,6,2668709
49,33P_h0kHWf4,4,7,0,0,19109498
50,YXs3PgBinWE,1,2,0,14,385272
51,tSPo4Tlr7pU,119,106,0,489,73988
52,In7MGy3lW2o,0,0,0,4,302021
53,s6OdyISVhI8,0,1,0,0,2648852
54,bR-Hg77Mt94,0,0,0,0,3156654
55,dgjsHjpdliE,4,229,0,422,4532801
56,fQGGObovFRI,-1,-1,0,-1,606481
57,V_VOZE0-Lic,2,5,0,1,26232355
58,u2tDXFItCNc,1,3,0,1,10568305
59,5kDQ23z5SqQ,8,104,0,259,1444705
60,HNNBvv_Xs94,0,0,0,5,131256
61,P7bjKMFAq-U,2,0,0,41,28569
62,G_o8-x94VnE,2,402,0,628,24869306
63,Si_PIQIRjVE,0,0,0,0,399546
64,9JKWhMdmkt4,0,1,0,10,339850
65,pmffdZivUzI,0,0,0,0,761413
66,Q4_cgz4YRnM,1597,36770,0,107507,39959460
67,WRLPqmvoEMU,0,0,0,0,52
68,_HTM-HMHUK8,1874,20834,0,52814,21048788
69,Dd5q9JGjsko,2,0,0,26,1574794
70,1r73NtzXq1Q,0,0,0,0,338221
71,Rn-Z84yTiuw,4,0,0,0,1055072
72,jy2RL4mWF0k,-1,52,0,16,242192231
73,CinFgUkhL0U,0,0,0,0,222639
74,mlS5zXWSZpg,1,2,0,6,133231
75,NbAn-53fz1s,4,0,0,17,2391748
76,Slg2M3lahhQ,12,35,0,199,3247897
77,6dI9HxykDSM,25,101,0,344,8247704
78,9TbmCTpfkRw,6,14,0,51,9550134
79,QG_nzqInPfs,26,4,0,88,4966624
